Categoria,Subcategoria,Tarea,Unidad_ref,Rendimiento_base,Horas_por_unidad,Cuadrilla_base,Supuestos,Factores_ajuste,Materiales_basicos_por_unidad,Notas,Fuentes
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición horizontal (FCAW),h/m de cordón,9.4595,0.106,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición vertical (FCAW),h/m de cordón,7.883,0.127,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición sobre-cabeza (FCAW),h/m de cordón,6.8319,0.146,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición plana (SMAW (Electrodo)),h/m de cordón,3.003,0.333,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,2.7027,0.37,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,2.2523,0.444,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,1.952,0.512,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición plana (GTAW (TIG)),h/m de cordón,1.8769,0.533,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición horizontal (GTAW (TIG)),h/m de cordón,1.6892,0.592,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición vertical (GTAW (TIG)),h/m de cordón,1.4077,0.71,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,1.22,0.82,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición plana (GMAW (MIG)),h/m de cordón,3.8852,0.257,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición horizontal (GMAW (MIG)),h/m de cordón,3.4967,0.286,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición vertical (GMAW (MIG)),h/m de cordón,2.9139,0.343,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,2.5254,0.396,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición plana (FCAW),h/m de cordón,5.9122,0.169,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición horizontal (FCAW),h/m de cordón,5.321,0.188,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición vertical (FCAW),h/m de cordón,4.4342,0.226,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición sobre-cabeza (FCAW),h/m de cordón,3.8429,0.26,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición plana (SMAW (Electrodo)),h/m de cordón,1.6892,0.592,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,1.5203,0.658,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,1.2669,0.789,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,1.098,0.911,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición plana (GTAW (TIG)),h/m de cordón,1.0558,0.947,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición horizontal (GTAW (TIG)),h/m de cordón,0.9502,1.052,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición vertical (GTAW (TIG)),h/m de cordón,0.7918,1.263,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
