Nombre,Categoría,Especialidad,Dirección,CP,Municipio/Área,Teléfono,WhatsApp,Email,Web,Notas,Fuente,Categoria,Valoración_Google,Tipo,Probable_Autonomo,Valoracion,Resenas
Grupo Tegnair,,"Diseño, instalación y limpieza de sistemas; servicio 24/7",C/ Martín el Humano 23 (PI Masía del Espí),46930.0,Quart de Poblet (Valencia),+34 96 152 20 34,+34 681 30 66 79,info@tegnair.com,https://grupotegnair.com/,Divisiones de industria y hostelería; limpieza de campanas,grupotegnair.com / tegnair.com,Extracción / Ventilación industrial,,Servicio (empresa/autónomo),No (empresa),,
Hnos. Andújar y Navarro,Contenedores y gestión de residuos,Alquiler de contenedores; ecoparque y valorización,"C/ Ciudad de Llíria, 83. P.I. Fuente del Jarro",46988,Paterna,+34 961 324 950,,info@andujarynavarro.com,https://andujarynavarro.com/,Transporte residuos; horarios 8-14 / 15-18,https://andujarynavarro.com/medio-ambiente/alquiler-de-contenedores/,,,Servicio (empresa/autónomo),Sí (probable),,
Hosteco,,Maquinaria de hostelería; acero inoxidable a medida,C/ Campos Crespo 12,46017,València,+34 963 57 80 82,+34 608 77 02 56,comercial@hosteco.es,https://hosteco.es/,Atención en tienda; acero a medida,hosteco.es,Maquinaria y Mobiliario Inox,,Servicio (empresa/autónomo),Por confirmar,,
Hostelecan Levante,,Venta e instalación; tienda física y online,Av. de la Paz 37,46950,Xirivella (Valencia),+34 960 62 94 44,+34 637 87 77 92,comercial@hostelecan.com,https://hostelecan.com/,Asesoría y envíos,hostelecan.com,Maquinaria Hostelería,,Servicio (empresa/autónomo),Por confirmar,,
Hostesa,,"Maquinaria, menaje y mobiliario de acero a medida/estándar",Av. de Sant Josep de la Muntanya 7,46008,València,+34 963 82 03 84,,hostesa@hostesa.es,https://hostesa.es/,Catálogo y tienda en Valencia,hostesa.es,Suministros Hostelería,,Servicio (empresa/autónomo),Por confirmar,,
IMPERTECA,Impermeabilización/aislamiento,Impermeabilización de terrazas y cubiertas,—,Valencia,Valencia,+34 611 819 133,,info@imperteca.com,https://imperteca.com/,Sistemas TPO/PVC/PU,https://www.instagram.com/imperteca/,,,Servicio (empresa/autónomo),Por confirmar,,
ISEVAL by Liftinstituut,Laboratorio acústico (ENAC),Mediciones de ruido e aislamiento; ECMCA nº63,"C/ Mestre Giner, 33",46900,Torrent,+34 963 970 150,,info@iseval.net,https://iseval.net/,Acreditación ENAC 920/LE1754,https://iseval.net/servicios/laboratorio-ensayos-acusticos/,,,Servicio (empresa),Sí (probable),,
Imprenta Online UV (Antonio Verdet),Impresión digital UV,Gran formato; montajes en fachadas/andamios,"C/ Linares, 16",46018,València,+34 692 902 957,,info@imprentaonlineuv.com,https://www.imprentaonlineuv.com/,También: antonioverdet.com,https://www.imprentaonlineuv.com/tiendas,,,Servicio (empresa/autónomo),Por confirmar,,
Industrias Mecánicas ROYSER,Soldadura/metal,Soldadura industrial; fabricación/maquinaria,"C/ Corts Generals, 56 (Pol. Crta Albalat)",46600,Alzira,+34 962 410 811,,royser@royser.es,https://royser.net/,Personal homologado,https://royser.net/servicio-de-soldadura-industrial-en-valencia/,,,Servicio (empresa/autónomo),Sí (probable),,
LOXAMHUNE Valencia,Alquiler de maquinaria,Maquinaria generalista y plataformas,"Av. Comarques del País Valencià, 181",46930,Quart de Poblet,+34 961 579 590,,valencia@loxamhune.com,https://www.loxamhune.com/,Delegación Valencia; espacios Bauhaus/Leroy,https://www.loxamhune.com/delegaciones/valencia/,,,Servicio (empresa/autónomo),No (empresa),,
La Cristalería de Valencia,,"Cerramientos, barandillas, mamparas; vidrio a medida",,,València,+34 960 479 500,+34 645 700 573,,https://www.lacristaleriadevalencia.es/,Servicio a empresas y particulares,lacristaleriadevalencia.es,Cristalería,,Servicio (empresa/autónomo),No (empresa),,
Lemara Restauraciones,Impermeabilización y restauración,"Impermeabilización, restauración y rehabilitación","Jaume I, 90 (Pol. Ind.)",46200,Paiporta,+34 962 836 256,,,https://www.lemara.es/,Delegación Valencia,https://www.lemara.es/contacto/,,,Servicio (empresa/autónomo),Sí (probable),,
MAS Prevención Valencia,Prevención de Riesgos Laborales,PRL; Vigilancia de la salud; reconocimientos,"C/ Timoneda, 6 - Bajo",46008,Valencia,+34 963 827 322,,reconocimientos_valencia@spmas.es,https://www.spmas.es/,Centro Valencia,https://www.spmas.es/centros/mas-prevencion-valencia/,,,Servicio (empresa/autónomo),No (empresa),,
Madentia,,"Carpintería a medida (servicio 360: diseño, producción, instalación)",,,València (área metropolitana),,,,https://madentia.es/,Taller a pocos km de Valencia,madentia.es,Carpintería técnica,,Servicio (empresa/autónomo),Por confirmar,,
Muebles Metálicos Herta,,Fabricación de mobiliario metálico para hostelería,"Travesía de la Peralta s/n, Polígono 7",46540.0,El Puig (Valencia),+34 961 47 11 29,+34 633 211 890,,https://mueblesherta.com/,Fabricante nacional con sede en Valencia,mueblesherta.com,Mobiliario inox hostelería,,Servicio (empresa/autónomo),Sí (probable),,
NUHOSVAL,,"Venta, instalación y SAT de maquinaria; mobiliario inoxidable a medida",C/ Carretera Escriva 3,46007,València,+34 963 20 73 51,+34 651 86 97 01,comercial@nuhosval.es,https://nuhosval.es/,Tienda y SAT propio,nuhosval.es,Maquinaria Hostelería,,Servicio (empresa/autónomo),Por confirmar,,
Noumetall Sistemes,,"Mobiliario y decoración en inox, hierro, aluminio y vidrio","C/ Dels Fornillers, 1-B (PI)",46192.0,Montserrat (Valencia),+34 962 999 005,+34 672 32 63 73,comercial_luz@metalicasluz.es,https://www.noumetall.com/,Soluciones a medida para retail y hostelería,noumetall.com,Carpintería metálica / Inox,,Servicio (empresa/autónomo),Sí (probable),,
Optimair,,Sistemas de ventilación y extracción de aire,,,València,+34 963 402 456,+34 695 361 944,optimair1@optimair.es,https://www.optimair.es/,Diseño y mantenimiento,optimair.es,Ventilación industrial,,Servicio (empresa/autónomo),Por confirmar,,
PRODECOR Valencia,Pintura y reformas,Pintura decorativa e industrial; fachadas,"Plaza de la Policía Local, 1",46015,Valencia,+34 679 813 733,,info@prodecorvalencia.es,https://prodecorvalencia.es/,Atención L-V 8-22h,https://prodecorvalencia.es/contacto/,,,Servicio (empresa/autónomo),No (empresa),,
Persividre,Carpintería metálica y cristalería,"Aluminio, hierro, PVC, cerrajería",—,Beniparrell,Valencia,+34 678 324 707,,,https://persividre.com/,Taller carpintería metálica y acristalamiento,https://persividre.com/,,,Servicio (empresa/autónomo),Por confirmar,,
Peyma Impermeabilizaciones,Impermeabilización,"Terrazas, cubiertas; láminas y poliuretano","C/ Joaquín Escrivá Peiró, 17 bajo izq.",46470,Catarroja,+34 961 270 315,,info@imperpeyma.com,https://www.imperpeyma.com/,Garantía 10 años,https://www.imperpeyma.com/contactar/,,,Servicio (empresa/autónomo),Sí (probable),,
Pintorval,Pintura,Pintura interior/exterior,"Carrer Hort del Cabut, s/n",46470,Albal,+34 961 269 403 / 609 269 397,,info@pintorval.es,https://pintorval.es/,Empresa local en Albal,https://pintorval.es/contacto/,,,Servicio (empresa/autónomo),Por confirmar,,
Precover Acústica y Medio Ambiente,Laboratorio acústico (ENAC),Mediciones acústicas; CEM; PRL ruido,"C/ Costa y Borrás, 65 bajo 1",46017,Valencia,+34 96 320 38 74,,info@precover.es,https://precover.es/,ECMCA GVA; acreditación ENAC,https://precover.es/contacto/,,,Servicio (empresa),Sí (probable),,
RENTAIRE Valencia,Alquiler de maquinaria,Alquiler construcción e industria,"C/ 14, nº 11 (P.I. Els Codonyers)",46229,Picassent,+34 960 600 015,,info.valencia@rentaire.es,https://www.rentaire.es/,Delegación abierta 2025,https://www.rentaire.es/noticias/nueva-delegacion-de-alquiler-de-maquinaria-en-valencia/,,,Servicio (empresa/autónomo),No (empresa),,
RNSinox,,Transformación de acero inoxidable; fabricación a medida,C/ Huelva 17,46113.0,Moncada (Valencia),+34 961 39 13 05,,rnsinox@rnsinox.com,https://rnsinox.com/,Desde 1965; calderería fina,rnsinox.com,Calderería fina inox,,Servicio (empresa/autónomo),Por confirmar,,
Ramiro Hermanos,,Mobiliario y componentes inox a medida; contract,C/ Campos Crespo 37,46017.0,València,+34 963 77 05 90,,info@ramirohermanos.es,https://ramirohermanos.es/,Especialistas en mobiliario y piezas a medida,ramirohermanos.es,Acero inoxidable / Metal,,Servicio (empresa/autónomo),Sí (probable),,
Refriclim,,"Diseño, fabricación e instalación de cámaras frigoríficas; panel sándwich","C/ Traginers 2, Nave 34. Polígono Horta Vella",46117,Bétera (Valencia),+34 961 52 67 95,,info@refriclim.com,https://refriclim.com/,Especialistas en cámaras y cerramientos frigoríficos,refriclim.com,Frío industrial,,Servicio (empresa/autónomo),Por confirmar,,
Rótulos Cecilio,Rotulación,"Rotulación de vehículos, fachadas y soportes","Pol. Industrial Sur, 24",46230,Alginet,+34 961 750 579,677 107 191,comercial@rotuloscecilio.com,https://rotuloscecilio.com/,Horario L-V 8:00-13:30 / 15:30-19:00,https://rotuloscecilio.com/contacto/,,,Servicio (empresa/autónomo),Sí (probable),,
SPS Publicidad,Publicidad exterior,"Gran formato, rotulación, impresión","C/ Carcaixent, 10",46980,Paterna,+34 963 252 177,651 527 393,info@spspublicidad.com,https://spspublicidad.com/,Montajes publicitarios,https://spspublicidad.com/contacto/,,,Servicio (empresa/autónomo),Sí (probable),,
STM Aplicaciones de Pintura,Pintura industrial,Pintura industrial y decorativa; impermeabilización,"C/ Pedralba, 60",46380,Cheste,+34 652 093 971,,,https://stmpinturas.es/,Servicios industria y obra nueva,https://stmpinturas.es/servicios/,,,Servicio (empresa/autónomo),Sí (probable),,
Soldaduras Planells,Soldadura,Estructuras; aluminio/inox/fundición; TIG/MIG,"C/ Solidaritat, 6 (Pol. Bº Cristo)",46960,Aldaia,+34 961 525 225 / 686 981 821,,info@soldadurasplanells.com,https://soldaduravalencia.com/,Horario L-V 8-15h,https://soldaduravalencia.com/donde-estamos-y-horario/,,,Servicio (empresa/autónomo),Por confirmar,,
TFV (Tecnologías de Filtración y Ventilación),,Sistemas de ventilación y extracción; filtración de aire,C/ Braç de Dijous nº4-A (Pol. Ind. el Moret),46210.0,Picanya (Valencia),+34 96 354 63 38,+34 635 271 667,,https://tfv.es/ventilacion/,Suministro e instalación,tfv.es,Ventilación / Filtración,,Servicio (empresa/autónomo),Sí (probable),,
Talleres Villalón,,"Depósitos, tanques e instalaciones en inox",C/ Campellos 9 y 11,46450.0,Benifaió (Valencia),,,contacta@talleresvillalon.com,https://www.talleresvillalon.com/,Depósitos y obra de calderería,talleresvillalon.com,Calderería acero inoxidable,,Servicio (empresa/autónomo),No (empresa),,
Talleres Áncora,,"Barandillas, escaleras, campanas, tuberías (agua/gas/vapor)",,,València (provincia),,,,https://www.talleresancorasl.es/,Expertos en acero inoxidable y mantenimientos,talleresancorasl.es,Calderería / Inox,,Servicio (empresa/autónomo),No (empresa),,
Tefrile,,"Diseño e instalación de sistemas de refrigeración (NH3, CO2), túneles de frío, cámaras y mantenimiento 24/7","C/ Maestro Serrano, 1",46690,L’Alcúdia de Crespins (Valencia),+34 962 24 44 24,,tefrile@tefrile.es,https://tefrile.es/,Proyectos llave en mano; refrigerantes naturales,tefrile.es,Frío industrial,,Servicio (empresa/autónomo),Por confirmar,,
Vercasa (Verdet Carratalá),Contenedores,Alquiler contenedores escombros/demolición/poda,"Ctra. Mas del Jutge, km 1,8. Pol. Mas del Jutge",46909,Torrent,+34 961 575 413,,vercasa@vercasa.net,https://www.vercasa.net/,Flota Euro VI; varias capacidades,https://www.vercasa.net/,,,Servicio (empresa/autónomo),Sí (probable),,
Vertical Xtreme Works,Trabajos verticales,Rehabilitación y mantenimiento con cuerdas,"C/ Actor Rambal, 42 bajo dcha",46100,Burjassot,+34 636 724 969,,verticalxtremevalencia@gmail.com,https://www.verticalxtremeworks.com/,Obra y mantenimiento,https://www.verticalxtremeworks.com/contacto,,,Servicio (empresa/autónomo),Sí (probable),,
Vidreglass,,"Barandillas, techos, ventanas; fábrica y oficinas","Antigua ctra. de Barcelona, Km 12,4 (Pol. Ind. Puebla de Farnals)",46139.0,La Pobla de Farnals (Valencia),+34 96 145 25 49,,info@vidreglass.com,https://vidreglass.com/,Exposición y fábrica en l'Horta Nord,vidreglass.com,Cristalería,,Servicio (empresa/autónomo),Por confirmar,,
Vidreval,,Cristalería general; cerramientos para Valencia y alrededores,C/ Iutera 7 (Polígono Industrial),46114.0,Vinalesa (Valencia),+34 961 354 955,,cristaleria@vidreval.com,https://cristaleriavalencia.com/,Taller propio,cristaleriavalencia.com (Vidreval),Cristalería,,Servicio (empresa/autónomo),Por confirmar,,
mateco Valencia,Plataformas elevadoras,Alquiler de plataformas y máquinas de carga,"C/ Levante, A-1.2.2. Pol. Poyo de Reva",46394,Riba-roja de Túria,+34 961 767 143,,valencia@mateco.es,https://www.mateco.es/,Delegación Valencia,https://www.mateco.es/alquiler-plataformas-elevadoras-y-maquinas-de-carga-valencia/,,,Servicio (empresa/autónomo),No (empresa),,
Àrtic Refrigeració,,"Instalación y mantenimiento de cámaras frigoríficas, aire acondicionado y aerotermia",C/ Lorenzo Salom 5,46007,València,+34 622 50 53 56,,info@articrefrigeracio.es,https://articrefrigeracio.es/,Servicio 24/7; clientes en alimentación y logística,articrefrigeracio.es,Frío industrial / comercial,,Servicio (empresa/autónomo),Por confirmar,,
Área Hostelería,,"Venta, instalación, reparación y mantenimiento",Avinguda Real de Madrid 131 (Pobles del Sud),46017,València,+34 623 226 002,+34 623 226 002,info@areahosteleria.com,https://www.areahosteleria.es/,Tienda física y catálogo,areahosteleria.es,Maquinaria Hostelería,,Servicio (empresa/autónomo),Por confirmar,,
