Nombre,Categoría,Categoria_pricebook,Servicio,Unidad,Banda_baja,Banda_alta,Precio_objetivo,Precio_recomendado_sin_IVA,Probable_Autonomo,Tipo,Teléfono,WhatsApp,Email,Web,Dirección,Localidad,Provincia,CP,Valoracion,Resenas,Fuentes,Fuente
ANTEA Prevención (Valencia),Prevención de Riesgos Laborales,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 902 364 070,,,https://www.anteaprevencion.com/,"Av. Archiduque Carlos, 42",,,46014,,,,https://www.anteaprevencion.com/sedes/antea-valencia/
mateco Valencia,Plataformas elevadoras,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 961 767 143,,valencia@mateco.es,https://www.mateco.es/,"C/ Levante, A-1.2.2. Pol. Poyo de Reva",,,46394,,,,https://www.mateco.es/alquiler-plataformas-elevadoras-y-maquinas-de-carga-valencia/
LOXAMHUNE Valencia,Alquiler de maquinaria,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 961 579 590,,valencia@loxamhune.com,https://www.loxamhune.com/,"Av. Comarques del País Valencià, 181",,,46930,,,,https://www.loxamhune.com/delegaciones/valencia/
GAM Valencia,Alquiler de maquinaria,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 961 417 790,,clientes@gamrentals.com,https://gamrentals.com/,"Pol. Juan Carlos I, Parc. 1-6(2)",,,46440,,,,https://gamrentals.com/es/gam-en-el-mundo/valencia
RENTAIRE Valencia,Alquiler de maquinaria,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 960 600 015,,info.valencia@rentaire.es,https://www.rentaire.es/,"C/ 14, nº 11 (P.I. Els Codonyers)",,,46229,,,,https://www.rentaire.es/noticias/nueva-delegacion-de-alquiler-de-maquinaria-en-valencia/
Àrtic Refrigeració,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 622 50 53 56,,info@articrefrigeracio.es,https://articrefrigeracio.es/,C/ Lorenzo Salom 5,,,46007,,,,articrefrigeracio.es
Tefrile,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 962 24 44 24,,tefrile@tefrile.es,https://tefrile.es/,"C/ Maestro Serrano, 1",,,46690,,,,tefrile.es
Refriclim,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 961 52 67 95,,info@refriclim.com,https://refriclim.com/,"C/ Traginers 2, Nave 34. Polígono Horta Vella",,,46117,,,,refriclim.com
Friogarsa Refrigeración y Climatización,,Climatización,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 633 631 605,+34 633 631 605,info@friogarsa.es,https://friogarsa.es/,C/ Tonellet 36,,,46900,,,,friogarsa.es
NUHOSVAL,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 20 73 51,+34 651 86 97 01,comercial@nuhosval.es,https://nuhosval.es/,C/ Carretera Escriva 3,,,46007,,,,nuhosval.es
Hostelecan Levante,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 960 62 94 44,+34 637 87 77 92,comercial@hostelecan.com,https://hostelecan.com/,Av. de la Paz 37,,,46950,,,,hostelecan.com
Hostesa,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 82 03 84,,hostesa@hostesa.es,https://hostesa.es/,Av. de Sant Josep de la Muntanya 7,,,46008,,,,hostesa.es
Hosteco,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 57 80 82,+34 608 77 02 56,comercial@hosteco.es,https://hosteco.es/,C/ Campos Crespo 12,,,46017,,,,hosteco.es
Área Hostelería,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 623 226 002,+34 623 226 002,info@areahosteleria.com,https://www.areahosteleria.es/,Avinguda Real de Madrid 131 (Pobles del Sud),,,46017,,,,areahosteleria.es
Casterval (en liquidación),,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 963 34 80 03,,casterval@casterval.es,https://www.casterval.es/,"Polígono Catarroja, Calle 31 C y D, nº 537",,,46470,,,,empresite.eleconomista.es / casterval.es
Ramiro Hermanos,,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 963 77 05 90,,info@ramirohermanos.es,https://ramirohermanos.es/,C/ Campos Crespo 37,,,46017.0,,,,ramirohermanos.es
RNSinox,,Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,28.75,Por confirmar,Servicio (empresa/autónomo),+34 961 39 13 05,,rnsinox@rnsinox.com,https://rnsinox.com/,C/ Huelva 17,,,46113.0,,,habitissimo.es (2024-12),rnsinox.com
Noumetall Sistemes,,Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,25.0,Sí (probable),Servicio (empresa/autónomo),+34 962 999 005,+34 672 32 63 73,comercial_luz@metalicasluz.es,https://www.noumetall.com/,"C/ Dels Fornillers, 1-B (PI)",,,46192.0,,,habitissimo.es (2024-12),noumetall.com
Muebles Metálicos Herta,,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 961 47 11 29,+34 633 211 890,,https://mueblesherta.com/,"Travesía de la Peralta s/n, Polígono 7",,,46540.0,,,,mueblesherta.com
Talleres Villalón,,,,,,,,,No (empresa),Servicio (empresa/autónomo),,,contacta@talleresvillalon.com,https://www.talleresvillalon.com/,C/ Campellos 9 y 11,,,46450.0,,,,talleresvillalon.com
Talleres Áncora,,,,,,,,,No (empresa),Servicio (empresa/autónomo),,,,https://www.talleresancorasl.es/,,,,,,,,talleresancorasl.es
Carpintería San José,,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 658 44 37 29,+34 658 44 37 29,,https://carpinteriasanjose.es/,,,,,,,pintserceba.com (2025-04-22),carpinteriasanjose.es
Madentia,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),,,,https://madentia.es/,,,,,,,,madentia.es
Ebanistería Rafael Hernández,,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 670 29 64 61,+34 670 29 64 61,,https://ebanrhh.es/,,,,,,,,ebanrhh.es
Fustería Soler,,,,,,,,,Sí (probable),Servicio (empresa/autónomo),,,,https://www.fusteriasoler.es/,,,,46940.0,,,,fusteriasoler.es
El Taller de Carola,,,,,,,,,Sí (probable),Servicio (empresa/autónomo),,,,https://eltallerdecarola.com/,,,,,,,,eltallerdecarola.com
Aluminios Arce,,Aluminio/PVC,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 49 31 37,+34 615 328 219,info@aluminiosarce.com,https://aluminiosarce.com/,Av. Dr. Peset Aleixandre 109,,,46009.0,,,,aluminiosarce.com
Aluminios Paiporta,,Aluminio/PVC,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 97 24 13,,mariangeles@aluminiospaiporta.com,https://aluminiospaiporta.es/,,,,,,,,aluminiospaiporta.es
Aluvista (Carpintería de aluminio),,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 651 345 994,+34 651 345 994,info@aluminiovalencia.com,https://www.aluminiovalencia.com/,C/ La Pau 9 (Pol. Ind. Barrio del Cristo),,,46960.0,,,pintserceba.com (2025-04-22),anuarioguia.com / infoconstruccion.es
La Cristalería de Valencia,,Cristalería,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 960 479 500,+34 645 700 573,,https://www.lacristaleriadevalencia.es/,,,,,,,,lacristaleriadevalencia.es
Vidreval,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 961 354 955,,cristaleria@vidreval.com,https://cristaleriavalencia.com/,C/ Iutera 7 (Polígono Industrial),,,46114.0,,,,cristaleriavalencia.com (Vidreval)
Cristalería Orozco,,Cristalería,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 484 674,,info@cristaleriaorozco.com,https://www.cristaleriaorozco.com/,"Camino Moncada 49, Bajo",,,46009.0,,,,cristaleriaorozco.com
Vidreglass,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 96 145 25 49,,info@vidreglass.com,https://vidreglass.com/,"Antigua ctra. de Barcelona, Km 12,4 (Pol. Ind. Puebla de Farnals)",,,46139.0,,,,vidreglass.com
Grupo Tegnair,,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 96 152 20 34,+34 681 30 66 79,info@tegnair.com,https://grupotegnair.com/,C/ Martín el Humano 23 (PI Masía del Espí),,,46930.0,,,,grupotegnair.com / tegnair.com
Optimair,,,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 402 456,+34 695 361 944,optimair1@optimair.es,https://www.optimair.es/,,,,,,,,optimair.es
TFV (Tecnologías de Filtración y Ventilación),,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 96 354 63 38,+34 635 271 667,,https://tfv.es/ventilacion/,C/ Braç de Dijous nº4-A (Pol. Ind. el Moret),,,46210.0,,,,tfv.es
Elcom Air Valencia,,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 961 20 32 52,,administración.valencia@elcomair.es,https://www.elcomair.es/,,,,,,,,empresite.eleconomista.es / elcomair.es
